start,middle,end,folding_energy_potential
482,532.0,582,-195.0
483,533.0,583,-190.0
484,534.0,584,-190.0
485,535.0,585,-190.0
486,536.0,586,-190.0
487,537.0,587,-190.0
488,538.0,588,-190.5
489,539.0,589,-190.5
490,540.0,590,-190.5
491,541.0,591,-190.0
492,542.0,592,-190.0
493,543.0,593,-190.0
494,544.0,594,-190.0
495,545.0,595,-185.5
496,546.0,596,-190.5
497,547.0,597,-190.0
498,548.0,598,-190.0
499,549.0,599,-190.0
500,550.0,600,-190.5
501,551.0,601,-190.0
502,552.0,602,-191.0
503,553.0,603,-190.0
504,554.0,604,-190.0
505,555.0,605,-185.5
506,556.0,606,-185.5
507,557.0,607,-185.5
508,558.0,608,-190.0
509,559.0,609,-190.0
510,560.0,610,-190.0
511,561.0,611,-190.0
512,562.0,612,-190.0
513,563.0,613,-190.0
514,564.0,614,-190.0
515,565.0,615,-185.0
516,566.0,616,-185.0
517,567.0,617,-186.0
518,568.0,618,-186.0
519,569.0,619,-185.0
520,570.0,620,-190.0
521,571.0,621,-190.0
522,572.0,622,-190.0
523,573.0,623,-190.0
524,574.0,624,-185.0
525,575.0,625,-190.0
526,576.0,626,-190.0
527,577.0,627,-190.0
528,578.0,628,-190.0
529,579.0,629,-190.0
530,580.0,630,-185.5
531,581.0,631,-185.5
532,582.0,632,-185.5
533,583.0,633,-189.5
534,584.0,634,-189.5
535,585.0,635,-190.5
536,586.0,636,-185.5
537,587.0,637,-190.0
538,588.0,638,-190.0
539,589.0,639,-190.0
540,590.0,640,-186.0
541,591.0,641,-190.0
542,592.0,642,-185.5
543,593.0,643,-185.5
544,594.0,644,-190.0
545,595.0,645,-190.0
546,596.0,646,-190.5
547,597.0,647,-190.5
548,598.0,648,-190.5
549,599.0,649,-190.5
550,600.0,650,-190.5
551,601.0,651,-190.5
552,602.0,652,-190.5
553,603.0,653,-190.5
554,604.0,654,-190.0
555,605.0,655,-190.0
556,606.0,656,-190.0
557,607.0,657,-190.0
558,608.0,658,-190.0
559,609.0,659,-185.0
560,610.0,660,-185.0
561,611.0,661,-190.0
562,612.0,662,-185.0
563,613.0,663,-185.0
564,614.0,664,-185.0
565,615.0,665,-190.0
566,616.0,666,-190.0
567,617.0,667,-190.0
568,618.0,668,-185.0
569,619.0,669,-185.0
570,620.0,670,-185.0
571,621.0,671,-185.5
572,622.0,672,-185.0
573,623.0,673,-185.0
574,624.0,674,-185.5
575,625.0,675,-185.5
576,626.0,676,-185.0
577,627.0,677,-185.0
578,628.0,678,-186.0
579,629.0,679,-181.0
580,630.0,680,-185.0
581,631.0,681,-181.0
582,632.0,682,-180.0
583,633.0,683,-180.0
584,634.0,684,-180.0
585,635.0,685,-180.0
586,636.0,686,-175.0
587,637.0,687,-175.0
588,638.0,688,-175.5
589,639.0,689,-175.0
590,640.0,690,-175.0
591,641.0,691,-175.0
592,642.0,692,-175.0
593,643.0,693,-175.0
594,644.0,694,-180.0
595,645.0,695,-175.5
596,646.0,696,-175.5
597,647.0,697,-175.5
598,648.0,698,-180.5
599,649.0,699,-175.5
600,650.0,700,-175.0
601,651.0,701,-175.0
602,652.0,702,-175.0
603,653.0,703,-180.0
604,654.0,704,-180.0
605,655.0,705,-180.5
606,656.0,706,-180.0
607,657.0,707,-185.0
608,658.0,708,-180.0
609,659.0,709,-180.0
610,660.0,710,-185.0
611,661.0,711,-185.0
612,662.0,712,-185.0
613,663.0,713,-185.0
614,664.0,714,-185.0
615,665.0,715,-185.5
616,666.0,716,-185.0
617,667.0,717,-185.0
618,668.0,718,-180.5
619,669.0,719,-185.5
620,670.0,720,-185.0
621,671.0,721,-185.0
622,672.0,722,-185.0
623,673.0,723,-185.0
624,674.0,724,-190.0
625,675.0,725,-195.0
626,676.0,726,-195.0
627,677.0,727,-195.0
628,678.0,728,-195.0
629,679.0,729,-190.0
630,680.0,730,-190.0
631,681.0,731,-190.5
632,682.0,732,-185.5
633,683.0,733,-190.0
634,684.0,734,-185.0
635,685.0,735,-185.0
636,686.0,736,-190.0
637,687.0,737,-190.0
638,688.0,738,-190.0
639,689.0,739,-190.0
640,690.0,740,-185.0
641,691.0,741,-185.0
642,692.0,742,-185.0
643,693.0,743,-185.0
644,694.0,744,-185.0
645,695.0,745,-190.0
646,696.0,746,-190.0
647,697.0,747,-190.0
648,698.0,748,-190.0
649,699.0,749,-190.0
650,700.0,750,-190.0
651,701.0,751,-185.0
652,702.0,752,-185.0
653,703.0,753,-185.0
654,704.0,754,-185.0
655,705.0,755,-185.0
656,706.0,756,-185.0
657,707.0,757,-185.0
658,708.0,758,-185.0
659,709.0,759,-185.0
660,710.0,760,-185.0
661,711.0,761,-185.0
662,712.0,762,-185.0
663,713.0,763,-180.0
664,714.0,764,-180.0
665,715.0,765,-180.0
666,716.0,766,-180.0
667,717.0,767,-180.0
668,718.0,768,-180.0
669,719.0,769,-180.0
670,720.0,770,-180.0
671,721.0,771,-180.0
672,722.0,772,-180.0
673,723.0,773,-185.0
674,724.0,774,-180.0
675,725.0,775,-185.0
676,726.0,776,-180.5
677,727.0,777,-180.5
678,728.0,778,-185.5
679,729.0,779,-180.5
680,730.0,780,-180.5
681,731.0,781,-180.5
682,732.0,782,-180.5
683,733.0,783,-180.5
684,734.0,784,-175.5
685,735.0,785,-175.5
686,736.0,786,-180.5
687,737.0,787,-180.5
688,738.0,788,-180.5
689,739.0,789,-180.5
690,740.0,790,-180.5
691,741.0,791,-180.5
692,742.0,792,-181.0
693,743.0,793,-180.5
694,744.0,794,-181.5
695,745.0,795,-185.5
696,746.0,796,-185.5
697,747.0,797,-185.5
698,748.0,798,-181.5
699,749.0,799,-181.0
700,750.0,800,-185.5
701,751.0,801,-185.5
702,752.0,802,-185.5
703,753.0,803,-180.5
704,754.0,804,-181.0
705,755.0,805,-181.0
706,756.0,806,-180.5
707,757.0,807,-181.5
708,758.0,808,-181.5
709,759.0,809,-180.5
710,760.0,810,-180.5
711,761.0,811,-180.5
712,762.0,812,-180.5
713,763.0,813,-185.5
714,764.0,814,-180.5
715,765.0,815,-180.5
716,766.0,816,-185.0
717,767.0,817,-185.0
718,768.0,818,-185.0
719,769.0,819,-185.0
720,770.0,820,-185.0
721,771.0,821,-190.0
722,772.0,822,-190.0
723,773.0,823,-190.0
724,774.0,824,-190.0
725,775.0,825,-185.0
726,776.0,826,-190.0
727,777.0,827,-185.0
728,778.0,828,-185.0
729,779.0,829,-185.0
730,780.0,830,-185.0
731,781.0,831,-180.0
732,782.0,832,-180.0
733,783.0,833,-180.0
734,784.0,834,-180.0
735,785.0,835,-175.0
736,786.0,836,-175.5
737,787.0,837,-175.5
738,788.0,838,-175.5
739,789.0,839,-180.0
740,790.0,840,-175.5
741,791.0,841,-175.5
742,792.0,842,-175.5
743,793.0,843,-180.0
744,794.0,844,-180.0
745,795.0,845,-180.5
746,796.0,846,-176.0
747,797.0,847,-180.0
748,798.0,848,-180.0
749,799.0,849,-180.0
750,800.0,850,-180.5
751,801.0,851,-180.5
752,802.0,852,-180.5
753,803.0,853,-185.0
754,804.0,854,-180.5
755,805.0,855,-180.5
756,806.0,856,-180.5
757,807.0,857,-180.0
758,808.0,858,-180.0
759,809.0,859,-180.0
760,810.0,860,-176.5
761,811.0,861,-175.0
762,812.0,862,-175.0
763,813.0,863,-175.5
764,814.0,864,-176.0
765,815.0,865,-175.5
766,816.0,866,-175.5
767,817.0,867,-180.5
768,818.0,868,-175.5
769,819.0,869,-175.5
770,820.0,870,-175.5
771,821.0,871,-170.5
772,822.0,872,-171.0
773,823.0,873,-175.0
774,824.0,874,-175.0
775,825.0,875,-175.0
776,826.0,876,-175.0
777,827.0,877,-175.0
778,828.0,878,-180.0
779,829.0,879,-175.0
780,830.0,880,-175.0
781,831.0,881,-175.0
782,832.0,882,-175.0
783,833.0,883,-175.0
784,834.0,884,-175.0
785,835.0,885,-175.0
786,836.0,886,-176.0
787,837.0,887,-176.0
788,838.0,888,-175.5
789,839.0,889,-175.0
790,840.0,890,-175.0
791,841.0,891,-175.0
792,842.0,892,-175.0
793,843.0,893,-175.0
794,844.0,894,-175.0
795,845.0,895,-170.0
796,846.0,896,-170.0
797,847.0,897,-171.0
798,848.0,898,-175.0
799,849.0,899,-175.0
800,850.0,900,-176.0
801,851.0,901,-175.0
802,852.0,902,-170.5
803,853.0,903,-170.5
804,854.0,904,-175.0
805,855.0,905,-170.0
806,856.0,906,-170.5
807,857.0,907,-170.5
808,858.0,908,-170.5
809,859.0,909,-170.5
810,860.0,910,-175.0
811,861.0,911,-175.0
812,862.0,912,-170.0
813,863.0,913,-170.0
814,864.0,914,-175.0
815,865.0,915,-175.0
816,866.0,916,-170.5
817,867.0,917,-170.5
818,868.0,918,-175.5
819,869.0,919,-175.5
820,870.0,920,-170.5
821,871.0,921,-170.5
822,872.0,922,-170.0
823,873.0,923,-170.0
824,874.0,924,-170.0
825,875.0,925,-170.0
826,876.0,926,-170.0
827,877.0,927,-170.0
828,878.0,928,-171.0
829,879.0,929,-175.0
830,880.0,930,-171.0
831,881.0,931,-175.0
832,882.0,932,-179.5
833,883.0,933,-175.5
834,884.0,934,-175.0
835,885.0,935,-180.0
836,886.0,936,-180.0
837,887.0,937,-176.0
838,888.0,938,-175.0
839,889.0,939,-176.0
840,890.0,940,-176.0
841,891.0,941,-176.0
842,892.0,942,-176.5
843,893.0,943,-181.0
844,894.0,944,-181.0
845,895.0,945,-181.0
846,896.0,946,-186.0
847,897.0,947,-186.0
848,898.0,948,-191.0
849,899.0,949,-186.0
850,900.0,950,-186.0
851,901.0,951,-181.0
852,902.0,952,-186.0
853,903.0,953,-186.0
854,904.0,954,-181.0
855,905.0,955,-181.0
856,906.0,956,-181.0
857,907.0,957,-180.5
858,908.0,958,-180.0
859,909.0,959,-185.0
860,910.0,960,-180.0
861,911.0,961,-185.0
862,912.0,962,-180.5
863,913.0,963,-180.0
864,914.0,964,-180.0
865,915.0,965,-180.0
866,916.0,966,-180.0
867,917.0,967,-180.0
868,918.0,968,-180.0
869,919.0,969,-180.0
870,920.0,970,-180.0
871,921.0,971,-180.0
872,922.0,972,-185.0
873,923.0,973,-185.0
874,924.0,974,-180.0
875,925.0,975,-180.0
876,926.0,976,-180.0
877,927.0,977,-175.5
878,928.0,978,-175.5
879,929.0,979,-176.0
880,930.0,980,-176.0
881,931.0,981,-180.0
882,932.0,982,-180.0
883,933.0,983,-185.0
884,934.0,984,-185.0
885,935.0,985,-185.0
886,936.0,986,-185.0
887,937.0,987,-180.5
888,938.0,988,-185.0
889,939.0,989,-180.0
890,940.0,990,-180.0
891,941.0,991,-180.0
892,942.0,992,-181.0
893,943.0,993,-180.0
894,944.0,994,-180.0
895,945.0,995,-181.5
896,946.0,996,-181.5
897,947.0,997,-180.0
898,948.0,998,-181.0
899,949.0,999,-180.0
900,950.0,1000,-180.5
0,50.0,100,-170.5
100,150.0,200,-180.5
200,250.0,300,-175.5
300,350.0,400,-181.0
400,450.0,500,-180.0
500,550.0,600,-190.5
600,650.0,700,-175.0
700,750.0,800,-185.5
800,850.0,900,-176.0
900,950.0,1000,-180.5
